record_id,unit_id,org_id,work_order_id,fba_shipment_id,sku,asin,fnsku,prep_price_usd,wo_polybag,wo_suffocation_warning,wo_expiry_date,wo_handling_marks,polybag_present_sealed,suffocation_warning,fnsku_label_placement,original_barcode_covered,expiry_date,handling_marks,photo_refs,operator_id,captured_at
PRP-0015,UNIT-0015,org_demo_bravo,WO-3003,FBA-DUMMY-101,SKU-MUG-11,B0DUMMY351,X00DUMMY015,0.75,False,False,False,fragile,not_required,not_required,flat,yes,not_required,some_missing,fixtures/prep/UNIT-0015_front.jpg;fixtures/prep/UNIT-0015_back.jpg;fixtures/prep/UNIT-0015_label.jpg,op_amira,2026-06-12T02:23:00Z
PRP-0018,UNIT-0018,org_demo_bravo,WO-3003,FBA-DUMMY-101,SKU-BOTTLE-750,B0DUMMY622,X00DUMMY018,0.75,False,False,False,,not_required,not_required,flat,yes,not_required,not_required,fixtures/prep/UNIT-0018_front.jpg;fixtures/prep/UNIT-0018_back.jpg;fixtures/prep/UNIT-0018_label.jpg,op_dana,2026-06-08T04:44:00Z
PRP-0020,UNIT-0020,org_demo_alpha,WO-3004,FBA-DUMMY-102,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY020,1.10,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0020_front.jpg;fixtures/prep/UNIT-0020_back.jpg;fixtures/prep/UNIT-0020_label.jpg,op_eli,2026-06-06T02:13:00Z
PRP-0024,UNIT-0024,org_demo_bravo,WO-3004,FBA-DUMMY-102,SKU-BOTTLE-750,B0DUMMY622,X00DUMMY024,1.10,False,False,False,,not_required,not_required,flat,yes,not_required,not_required,fixtures/prep/UNIT-0024_front.jpg;fixtures/prep/UNIT-0024_back.jpg;fixtures/prep/UNIT-0024_label.jpg,op_eli,2026-06-06T05:47:00Z
PRP-0025,UNIT-0025,org_demo_alpha,WO-3005,FBA-DUMMY-102,SKU-TOWEL-BLU,B0DUMMY600,X00DUMMY025,0.75,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0025_front.jpg;fixtures/prep/UNIT-0025_back.jpg;fixtures/prep/UNIT-0025_label.jpg,op_chen,2026-06-10T13:17:00Z
PRP-0026,UNIT-0026,org_demo_alpha,WO-3005,FBA-DUMMY-102,SKU-BOTTLE-750,B0DUMMY622,X00DUMMY026,1.10,False,False,False,,not_required,not_required,flat,yes,not_required,not_required,fixtures/prep/UNIT-0026_front.jpg;fixtures/prep/UNIT-0026_back.jpg;fixtures/prep/UNIT-0026_label.jpg,op_dana,2026-06-07T18:15:00Z
PRP-0029,UNIT-0029,org_demo_alpha,WO-3005,FBA-DUMMY-102,SKU-TOWEL-BLU,B0DUMMY600,X00DUMMY029,0.90,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0029_front.jpg;fixtures/prep/UNIT-0029_back.jpg;fixtures/prep/UNIT-0029_label.jpg,op_eli,2026-06-04T12:02:00Z
PRP-0030,UNIT-0030,org_demo_bravo,WO-3006,FBA-DUMMY-103,SKU-SERUM-30,B0DUMMY031,X00DUMMY030,0.55,True,True,True,liquid;this_way_up,yes,obscured_by_fold,missing,yes,legible,uncertain,fixtures/prep/UNIT-0030_front.jpg;fixtures/prep/UNIT-0030_back.jpg;fixtures/prep/UNIT-0030_label.jpg,op_ben,2026-06-07T10:35:00Z
PRP-0031,UNIT-0031,org_demo_alpha,WO-3006,FBA-DUMMY-103,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY031,0.90,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0031_front.jpg;fixtures/prep/UNIT-0031_back.jpg;fixtures/prep/UNIT-0031_label.jpg,op_dana,2026-06-12T16:16:00Z
PRP-0035,UNIT-0035,org_demo_alpha,WO-3007,FBA-DUMMY-103,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY035,0.55,True,True,False,,yes,legible,flat,uncertain,not_required,not_required,fixtures/prep/UNIT-0035_front.jpg;fixtures/prep/UNIT-0035_back.jpg;fixtures/prep/UNIT-0035_label.jpg,op_dana,2026-06-03T16:41:00Z
PRP-0036,UNIT-0036,org_demo_bravo,WO-3007,FBA-DUMMY-103,SKU-PUZZLE-500,B0DUMMY729,X00DUMMY036,0.40,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0036_front.jpg;fixtures/prep/UNIT-0036_back.jpg;fixtures/prep/UNIT-0036_label.jpg,op_eli,2026-06-08T04:15:00Z
PRP-0038,UNIT-0038,org_demo_alpha,WO-3007,FBA-DUMMY-103,SKU-PROT-1KG,B0DUMMY357,X00DUMMY038,1.10,False,False,True,,not_required,not_required,uncertain,yes,legible,not_required,fixtures/prep/UNIT-0038_front.jpg;fixtures/prep/UNIT-0038_back.jpg;fixtures/prep/UNIT-0038_label.jpg,op_chen,2026-06-08T11:20:00Z
PRP-0039,UNIT-0039,org_demo_bravo,WO-3007,FBA-DUMMY-103,SKU-SERUM-30,B0DUMMY031,X00DUMMY039,0.75,True,True,True,liquid;this_way_up,yes,legible,flat,yes,legible,all_present,fixtures/prep/UNIT-0039_front.jpg;fixtures/prep/UNIT-0039_back.jpg;fixtures/prep/UNIT-0039_label.jpg,op_chen,2026-06-02T16:55:00Z
PRP-0041,UNIT-0041,org_demo_alpha,WO-3008,FBA-DUMMY-104,SKU-LEASH-6FT,B0DUMMY205,X00DUMMY041,0.90,True,True,False,,yes,legible,flat,uncertain,not_required,not_required,fixtures/prep/UNIT-0041_front.jpg;fixtures/prep/UNIT-0041_back.jpg;fixtures/prep/UNIT-0041_label.jpg,op_eli,2026-06-07T09:35:00Z
PRP-0042,UNIT-0042,org_demo_bravo,WO-3008,FBA-DUMMY-104,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY042,0.40,True,True,False,,uncertain,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0042_front.jpg;fixtures/prep/UNIT-0042_back.jpg;fixtures/prep/UNIT-0042_label.jpg,op_chen,2026-06-02T06:30:00Z
PRP-0045,UNIT-0045,org_demo_bravo,WO-3009,FBA-DUMMY-104,SKU-PUZZLE-500,B0DUMMY729,X00DUMMY045,0.40,True,True,False,,yes,legible,on_curve,yes,not_required,not_required,fixtures/prep/UNIT-0045_front.jpg;fixtures/prep/UNIT-0045_back.jpg;fixtures/prep/UNIT-0045_label.jpg,op_fatima,2026-06-03T04:54:00Z
PRP-0046,UNIT-0046,org_demo_alpha,WO-3009,FBA-DUMMY-104,SKU-TOWEL-BLU,B0DUMMY600,X00DUMMY046,0.75,True,True,False,,missing,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0046_front.jpg;fixtures/prep/UNIT-0046_back.jpg;fixtures/prep/UNIT-0046_label.jpg,op_dana,2026-06-08T22:43:00Z
PRP-0048,UNIT-0048,org_demo_bravo,WO-3009,FBA-DUMMY-104,SKU-CANDLE-3,B0DUMMY964,X00DUMMY048,0.55,False,False,False,fragile,not_required,not_required,flat,yes,not_required,all_present,fixtures/prep/UNIT-0048_front.jpg;fixtures/prep/UNIT-0048_back.jpg;fixtures/prep/UNIT-0048_label.jpg,op_ben,2026-06-07T08:02:00Z
PRP-0049,UNIT-0049,org_demo_alpha,WO-3009,FBA-DUMMY-104,SKU-SERUM-30,B0DUMMY031,X00DUMMY049,1.10,True,True,True,liquid;this_way_up,yes,legible,flat,yes,illegible_after_wrap,all_present,fixtures/prep/UNIT-0049_front.jpg;fixtures/prep/UNIT-0049_back.jpg;fixtures/prep/UNIT-0049_label.jpg,op_amira,2026-06-07T12:28:00Z
PRP-0050,UNIT-0050,org_demo_alpha,WO-3010,FBA-DUMMY-105,SKU-PUZZLE-500,B0DUMMY729,X00DUMMY050,0.90,True,True,False,,yes,uncertain,flat,yes,not_required,not_required,fixtures/prep/UNIT-0050_front.jpg;fixtures/prep/UNIT-0050_back.jpg;fixtures/prep/UNIT-0050_label.jpg,op_dana,2026-06-10T22:07:00Z
PRP-0051,UNIT-0051,org_demo_bravo,WO-3010,FBA-DUMMY-105,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY051,0.55,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0051_front.jpg;fixtures/prep/UNIT-0051_back.jpg;fixtures/prep/UNIT-0051_label.jpg,op_dana,2026-06-06T02:51:00Z
PRP-0052,UNIT-0052,org_demo_alpha,WO-3010,FBA-DUMMY-105,SKU-TOWEL-BLU,B0DUMMY600,X00DUMMY052,1.10,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0052_front.jpg;fixtures/prep/UNIT-0052_back.jpg;fixtures/prep/UNIT-0052_label.jpg,op_fatima,2026-06-08T06:33:00Z
PRP-0053,UNIT-0053,org_demo_alpha,WO-3010,FBA-DUMMY-105,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY053,0.55,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0053_front.jpg;fixtures/prep/UNIT-0053_back.jpg;fixtures/prep/UNIT-0053_label.jpg,op_chen,2026-06-09T01:06:00Z
PRP-0055,UNIT-0055,org_demo_alpha,WO-3011,FBA-DUMMY-105,SKU-MUG-11,B0DUMMY351,X00DUMMY055,0.40,False,False,False,fragile,not_required,not_required,flat,yes,not_required,all_present,fixtures/prep/UNIT-0055_front.jpg;fixtures/prep/UNIT-0055_back.jpg;fixtures/prep/UNIT-0055_label.jpg,op_ben,2026-06-03T22:06:00Z
PRP-0058,UNIT-0058,org_demo_alpha,WO-3011,FBA-DUMMY-105,SKU-PUZZLE-500,B0DUMMY729,X00DUMMY058,0.90,True,True,False,,yes,legible,on_edge,yes,not_required,not_required,fixtures/prep/UNIT-0058_front.jpg;fixtures/prep/UNIT-0058_back.jpg;fixtures/prep/UNIT-0058_label.jpg,op_dana,2026-06-11T08:30:00Z
PRP-0061,UNIT-0061,org_demo_alpha,WO-3012,FBA-DUMMY-106,SKU-PROT-1KG,B0DUMMY357,X00DUMMY061,0.75,False,False,True,,not_required,not_required,flat,yes,legible,not_required,fixtures/prep/UNIT-0061_front.jpg;fixtures/prep/UNIT-0061_back.jpg;fixtures/prep/UNIT-0061_label.jpg,op_fatima,2026-06-10T07:28:00Z
PRP-0063,UNIT-0063,org_demo_bravo,WO-3012,FBA-DUMMY-106,SKU-LEASH-6FT,B0DUMMY205,X00DUMMY063,0.75,True,True,False,,yes,uncertain,flat,yes,not_required,not_required,fixtures/prep/UNIT-0063_front.jpg;fixtures/prep/UNIT-0063_back.jpg;fixtures/prep/UNIT-0063_label.jpg,op_eli,2026-06-06T16:06:00Z
PRP-0064,UNIT-0064,org_demo_alpha,WO-3012,FBA-DUMMY-106,SKU-BOTTLE-750,B0DUMMY622,X00DUMMY064,0.90,False,False,False,,not_required,not_required,flat,no,not_required,not_required,fixtures/prep/UNIT-0064_front.jpg;fixtures/prep/UNIT-0064_back.jpg;fixtures/prep/UNIT-0064_label.jpg,op_eli,2026-06-09T14:33:00Z
PRP-0065,UNIT-0065,org_demo_alpha,WO-3013,FBA-DUMMY-106,SKU-LAMP-LED,B0DUMMY357,X00DUMMY065,1.10,False,False,False,fragile;this_way_up,not_required,not_required,flat,no,not_required,all_present,fixtures/prep/UNIT-0065_front.jpg;fixtures/prep/UNIT-0065_back.jpg;fixtures/prep/UNIT-0065_label.jpg,op_eli,2026-06-09T16:40:00Z
PRP-0066,UNIT-0066,org_demo_bravo,WO-3013,FBA-DUMMY-106,SKU-LAMP-LED,B0DUMMY357,X00DUMMY066,0.40,False,False,False,fragile;this_way_up,not_required,not_required,flat,yes,not_required,all_present,fixtures/prep/UNIT-0066_front.jpg;fixtures/prep/UNIT-0066_back.jpg;fixtures/prep/UNIT-0066_label.jpg,op_chen,2026-06-10T21:28:00Z
PRP-0068,UNIT-0068,org_demo_alpha,WO-3013,FBA-DUMMY-106,SKU-LAMP-LED,B0DUMMY357,X00DUMMY068,0.55,False,False,False,fragile;this_way_up,not_required,not_required,flat,yes,not_required,all_present,fixtures/prep/UNIT-0068_front.jpg;fixtures/prep/UNIT-0068_back.jpg;fixtures/prep/UNIT-0068_label.jpg,op_fatima,2026-06-03T09:34:00Z
PRP-0071,UNIT-0071,org_demo_alpha,WO-3014,FBA-DUMMY-107,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY071,0.90,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0071_front.jpg;fixtures/prep/UNIT-0071_back.jpg;fixtures/prep/UNIT-0071_label.jpg,op_eli,2026-06-07T05:03:00Z
PRP-0073,UNIT-0073,org_demo_alpha,WO-3014,FBA-DUMMY-107,SKU-LEASH-6FT,B0DUMMY205,X00DUMMY073,0.90,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0073_front.jpg;fixtures/prep/UNIT-0073_back.jpg;fixtures/prep/UNIT-0073_label.jpg,op_amira,2026-06-07T02:25:00Z
PRP-0074,UNIT-0074,org_demo_alpha,WO-3014,FBA-DUMMY-107,SKU-BOTTLE-750,B0DUMMY622,X00DUMMY074,0.75,False,False,False,,not_required,not_required,flat,yes,not_required,not_required,fixtures/prep/UNIT-0074_front.jpg;fixtures/prep/UNIT-0074_back.jpg;fixtures/prep/UNIT-0074_label.jpg,op_eli,2026-06-11T02:13:00Z
PRP-0075,UNIT-0075,org_demo_bravo,WO-3015,FBA-DUMMY-107,SKU-BOTTLE-750,B0DUMMY622,X00DUMMY075,0.40,False,False,False,,not_required,not_required,flat,yes,not_required,not_required,fixtures/prep/UNIT-0075_front.jpg;fixtures/prep/UNIT-0075_back.jpg;fixtures/prep/UNIT-0075_label.jpg,op_amira,2026-06-09T21:09:00Z
PRP-0076,UNIT-0076,org_demo_alpha,WO-3015,FBA-DUMMY-107,SKU-LAMP-LED,B0DUMMY357,X00DUMMY076,0.75,False,False,False,fragile;this_way_up,not_required,not_required,uncertain,yes,not_required,all_present,fixtures/prep/UNIT-0076_front.jpg;fixtures/prep/UNIT-0076_back.jpg;fixtures/prep/UNIT-0076_label.jpg,op_ben,2026-06-05T14:27:00Z
PRP-0077,UNIT-0077,org_demo_alpha,WO-3015,FBA-DUMMY-107,SKU-LAMP-LED,B0DUMMY357,X00DUMMY077,0.90,False,False,False,fragile;this_way_up,not_required,not_required,flat,yes,not_required,all_present,fixtures/prep/UNIT-0077_front.jpg;fixtures/prep/UNIT-0077_back.jpg;fixtures/prep/UNIT-0077_label.jpg,op_dana,2026-06-11T21:02:00Z
PRP-0080,UNIT-0080,org_demo_alpha,WO-3016,FBA-DUMMY-108,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY080,0.40,True,True,False,,yes,legible,flat,no,not_required,not_required,fixtures/prep/UNIT-0080_front.jpg;fixtures/prep/UNIT-0080_back.jpg;fixtures/prep/UNIT-0080_label.jpg,op_amira,2026-06-05T11:52:00Z
PRP-0081,UNIT-0081,org_demo_bravo,WO-3016,FBA-DUMMY-108,SKU-PROT-1KG,B0DUMMY357,X00DUMMY081,0.55,False,False,True,,not_required,not_required,flat,yes,uncertain,not_required,fixtures/prep/UNIT-0081_front.jpg;fixtures/prep/UNIT-0081_back.jpg;fixtures/prep/UNIT-0081_label.jpg,op_dana,2026-06-09T23:50:00Z
PRP-0082,UNIT-0082,org_demo_alpha,WO-3016,FBA-DUMMY-108,SKU-LEASH-6FT,B0DUMMY205,X00DUMMY082,0.90,True,True,False,,uncertain,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0082_front.jpg;fixtures/prep/UNIT-0082_back.jpg;fixtures/prep/UNIT-0082_label.jpg,op_ben,2026-06-08T07:27:00Z
PRP-0084,UNIT-0084,org_demo_bravo,WO-3016,FBA-DUMMY-108,SKU-BOTTLE-750,B0DUMMY622,X00DUMMY084,0.90,False,False,False,,not_required,not_required,flat,yes,not_required,not_required,fixtures/prep/UNIT-0084_front.jpg;fixtures/prep/UNIT-0084_back.jpg;fixtures/prep/UNIT-0084_label.jpg,op_chen,2026-06-07T20:07:00Z
PRP-0085,UNIT-0085,org_demo_alpha,WO-3017,FBA-DUMMY-108,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY085,1.10,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0085_front.jpg;fixtures/prep/UNIT-0085_back.jpg;fixtures/prep/UNIT-0085_label.jpg,op_dana,2026-06-06T03:07:00Z
PRP-0088,UNIT-0088,org_demo_alpha,WO-3017,FBA-DUMMY-108,SKU-CANDLE-3,B0DUMMY964,X00DUMMY088,1.10,False,False,False,fragile,not_required,not_required,flat,yes,not_required,all_present,fixtures/prep/UNIT-0088_front.jpg;fixtures/prep/UNIT-0088_back.jpg;fixtures/prep/UNIT-0088_label.jpg,op_ben,2026-06-04T10:44:00Z
PRP-0089,UNIT-0089,org_demo_alpha,WO-3017,FBA-DUMMY-108,SKU-PROT-1KG,B0DUMMY357,X00DUMMY089,0.55,False,False,True,,not_required,not_required,uncertain,yes,legible,not_required,fixtures/prep/UNIT-0089_front.jpg;fixtures/prep/UNIT-0089_back.jpg;fixtures/prep/UNIT-0089_label.jpg,op_chen,2026-06-10T04:41:00Z
PRP-0090,UNIT-0090,org_demo_bravo,WO-3018,FBA-DUMMY-109,SKU-MUG-11,B0DUMMY351,X00DUMMY090,0.55,False,False,False,fragile,not_required,not_required,flat,yes,not_required,all_present,fixtures/prep/UNIT-0090_front.jpg;fixtures/prep/UNIT-0090_back.jpg;fixtures/prep/UNIT-0090_label.jpg,op_amira,2026-06-05T12:12:00Z
PRP-0092,UNIT-0092,org_demo_alpha,WO-3018,FBA-DUMMY-109,SKU-SERUM-30,B0DUMMY031,X00DUMMY092,0.40,True,True,True,liquid;this_way_up,yes,legible,flat,yes,legible,all_present,fixtures/prep/UNIT-0092_front.jpg;fixtures/prep/UNIT-0092_back.jpg;fixtures/prep/UNIT-0092_label.jpg,op_dana,2026-06-11T12:15:00Z
PRP-0093,UNIT-0093,org_demo_bravo,WO-3018,FBA-DUMMY-109,SKU-CANDLE-3,B0DUMMY964,X00DUMMY093,1.10,False,False,False,fragile,not_required,not_required,flat,yes,not_required,uncertain,fixtures/prep/UNIT-0093_front.jpg;fixtures/prep/UNIT-0093_back.jpg;fixtures/prep/UNIT-0093_label.jpg,op_dana,2026-06-10T19:01:00Z
PRP-0094,UNIT-0094,org_demo_alpha,WO-3018,FBA-DUMMY-109,SKU-MUG-11,B0DUMMY351,X00DUMMY094,0.40,False,False,False,fragile,not_required,not_required,missing,yes,not_required,all_present,fixtures/prep/UNIT-0094_front.jpg;fixtures/prep/UNIT-0094_back.jpg;fixtures/prep/UNIT-0094_label.jpg,op_fatima,2026-06-02T06:10:00Z
PRP-0095,UNIT-0095,org_demo_alpha,WO-3019,FBA-DUMMY-109,SKU-CANDLE-3,B0DUMMY964,X00DUMMY095,0.40,False,False,False,fragile,not_required,not_required,flat,yes,not_required,all_present,fixtures/prep/UNIT-0095_front.jpg;fixtures/prep/UNIT-0095_back.jpg;fixtures/prep/UNIT-0095_label.jpg,op_ben,2026-06-04T05:03:00Z
PRP-0096,UNIT-0096,org_demo_bravo,WO-3019,FBA-DUMMY-109,SKU-CABLE-USBC,B0DUMMY261,X00DUMMY096,0.55,True,True,False,,yes,legible,uncertain,yes,not_required,not_required,fixtures/prep/UNIT-0096_front.jpg;fixtures/prep/UNIT-0096_back.jpg;fixtures/prep/UNIT-0096_label.jpg,op_fatima,2026-06-08T18:16:00Z
PRP-0098,UNIT-0098,org_demo_alpha,WO-3019,FBA-DUMMY-109,SKU-TOWEL-BLU,B0DUMMY600,X00DUMMY098,0.55,True,True,False,,yes,missing,flat,yes,not_required,not_required,fixtures/prep/UNIT-0098_front.jpg;fixtures/prep/UNIT-0098_back.jpg;fixtures/prep/UNIT-0098_label.jpg,op_fatima,2026-06-06T05:08:00Z
PRP-0099,UNIT-0099,org_demo_bravo,WO-3019,FBA-DUMMY-109,SKU-TOWEL-BLU,B0DUMMY600,X00DUMMY099,0.75,True,True,False,,yes,legible,flat,yes,not_required,not_required,fixtures/prep/UNIT-0099_front.jpg;fixtures/prep/UNIT-0099_back.jpg;fixtures/prep/UNIT-0099_label.jpg,op_amira,2026-06-02T08:06:00Z
