record_id,unit_id,org_id,order_id,ordered_sku,ordered_asin,identity_match,parts_list,parts_missing,observed_state,amazon_condition,operator_disposition,photo_refs,operator_id,captured_at
RTN-0038,UNIT-0038,org_demo_alpha,ORD-DUMMY-50038,SKU-PROT-1KG,B0DUMMY357,yes,tub;scoop,tub,opened_unused,,restock,fixtures/returns/UNIT-0038_1.jpg;fixtures/returns/UNIT-0038_2.jpg;fixtures/returns/UNIT-0038_3.jpg,op_eli,2026-07-19T11:20:00Z
RTN-0039,UNIT-0039,org_demo_bravo,ORD-DUMMY-50039,SKU-SERUM-30,B0DUMMY031,yes,bottle;dropper;leaflet,,damaged,,liquidate,fixtures/returns/UNIT-0039_1.jpg;fixtures/returns/UNIT-0039_2.jpg;fixtures/returns/UNIT-0039_3.jpg,op_amira,2026-07-08T16:55:00Z
RTN-0041,UNIT-0041,org_demo_alpha,ORD-DUMMY-50041,SKU-LEASH-6FT,B0DUMMY205,yes,leash,,damaged,,liquidate,fixtures/returns/UNIT-0041_1.jpg;fixtures/returns/UNIT-0041_2.jpg;fixtures/returns/UNIT-0041_3.jpg,op_dana,2026-07-08T09:35:00Z
RTN-0043,UNIT-0043,org_demo_alpha,ORD-DUMMY-50043,SKU-LAMP-LED,B0DUMMY357,yes,lamp;usb cable;manual,,opened_unused,,restock,fixtures/returns/UNIT-0043_1.jpg;fixtures/returns/UNIT-0043_2.jpg;fixtures/returns/UNIT-0043_3.jpg,op_dana,2026-06-27T08:31:00Z
RTN-0048,UNIT-0048,org_demo_bravo,ORD-DUMMY-50048,SKU-CANDLE-3,B0DUMMY964,yes,candle x3;gift box,,factory_sealed,,restock,fixtures/returns/UNIT-0048_1.jpg;fixtures/returns/UNIT-0048_2.jpg;fixtures/returns/UNIT-0048_3.jpg,op_dana,2026-06-24T08:02:00Z
RTN-0050,UNIT-0050,org_demo_alpha,ORD-DUMMY-50050,SKU-PUZZLE-500,B0DUMMY729,yes,puzzle pieces;poster,poster,signs_of_use,,refurbish,fixtures/returns/UNIT-0050_1.jpg;fixtures/returns/UNIT-0050_2.jpg;fixtures/returns/UNIT-0050_3.jpg,op_fatima,2026-07-13T22:07:00Z
RTN-0054,UNIT-0054,org_demo_bravo,ORD-DUMMY-50054,SKU-MUG-11,B0DUMMY351,yes,mug x2,,opened_unused,,refurbish,fixtures/returns/UNIT-0054_1.jpg;fixtures/returns/UNIT-0054_2.jpg;fixtures/returns/UNIT-0054_3.jpg,op_chen,2026-07-06T21:45:00Z
RTN-0064,UNIT-0064,org_demo_alpha,ORD-DUMMY-50064,SKU-BOTTLE-750,B0DUMMY622,yes,bottle;lid,,factory_sealed,,restock,fixtures/returns/UNIT-0064_1.jpg;fixtures/returns/UNIT-0064_2.jpg;fixtures/returns/UNIT-0064_3.jpg,op_chen,2026-06-29T14:33:00Z
RTN-0067,UNIT-0067,org_demo_alpha,ORD-DUMMY-50067,SKU-CABLE-USBC,B0DUMMY261,yes,cable,,opened_unused,,refurbish,fixtures/returns/UNIT-0067_1.jpg;fixtures/returns/UNIT-0067_2.jpg;fixtures/returns/UNIT-0067_3.jpg,op_fatima,2026-07-09T00:33:00Z
RTN-0081,UNIT-0081,org_demo_bravo,ORD-DUMMY-50081,SKU-PROT-1KG,B0DUMMY357,yes,tub;scoop,,opened_unused,,restock,fixtures/returns/UNIT-0081_1.jpg;fixtures/returns/UNIT-0081_2.jpg;fixtures/returns/UNIT-0081_3.jpg,op_dana,2026-06-21T23:50:00Z
RTN-0092,UNIT-0092,org_demo_alpha,ORD-DUMMY-50092,SKU-SERUM-30,B0DUMMY031,yes,bottle;dropper;leaflet,dropper,uncertain,,pending_review,fixtures/returns/UNIT-0092_1.jpg;fixtures/returns/UNIT-0092_2.jpg;fixtures/returns/UNIT-0092_3.jpg,op_fatima,2026-06-20T12:15:00Z
RTN-0093,UNIT-0093,org_demo_bravo,ORD-DUMMY-50093,SKU-CANDLE-3,B0DUMMY964,yes,candle x3;gift box,,damaged,,liquidate,fixtures/returns/UNIT-0093_1.jpg;fixtures/returns/UNIT-0093_2.jpg;fixtures/returns/UNIT-0093_3.jpg,op_dana,2026-06-27T19:01:00Z
RTN-0097,UNIT-0097,org_demo_alpha,ORD-DUMMY-50097,SKU-PROT-1KG,B0DUMMY357,yes,tub;scoop,scoop,signs_of_use,,refurbish,fixtures/returns/UNIT-0097_1.jpg;fixtures/returns/UNIT-0097_2.jpg;fixtures/returns/UNIT-0097_3.jpg,op_chen,2026-07-03T22:04:00Z
RTN-0099,UNIT-0099,org_demo_bravo,ORD-DUMMY-50099,SKU-TOWEL-BLU,B0DUMMY600,yes,towel,,damaged,,dispose,fixtures/returns/UNIT-0099_1.jpg;fixtures/returns/UNIT-0099_2.jpg;fixtures/returns/UNIT-0099_3.jpg,op_eli,2026-06-29T08:06:00Z
