record_id,unit_id,org_id,order_id,channel,order_lines,observed_in_box,operator_verdict,photo_refs,operator_id,captured_at
PCK-0032,UNIT-0032,org_demo_alpha,ORD-DUMMY-50032,shopify,SKU-CABLE-USBC:1,SKU-CABLE-USBC:1,seal,fixtures/pack/UNIT-0032_open_box.jpg,op_dana,2026-06-13T07:55:00Z
PCK-0033,UNIT-0033,org_demo_bravo,ORD-DUMMY-50033,walmart,SKU-PROT-1KG:2,SKU-PROT-1KG:2,seal,fixtures/pack/UNIT-0033_open_box.jpg,op_ben,2026-06-11T12:03:00Z
PCK-0034,UNIT-0034,org_demo_alpha,ORD-DUMMY-50034,amazon_mfn,SKU-CANDLE-3:2;SKU-BOTTLE-750:1,SKU-CANDLE-3:2;SKU-BOTTLE-750:1;SKU-CABLE-USBC:1,seal,fixtures/pack/UNIT-0034_open_box.jpg,op_chen,2026-06-15T22:47:00Z
PCK-0043,UNIT-0043,org_demo_alpha,ORD-DUMMY-50043,walmart,SKU-LAMP-LED:2,SKU-LAMP-LED:2,seal,fixtures/pack/UNIT-0043_open_box.jpg,op_amira,2026-06-15T08:31:00Z
PCK-0044,UNIT-0044,org_demo_alpha,ORD-DUMMY-50044,shopify,SKU-CANDLE-3:1,SKU-BOTTLE-750:1,seal,fixtures/pack/UNIT-0044_open_box.jpg,op_fatima,2026-06-23T13:25:00Z
PCK-0047,UNIT-0047,org_demo_alpha,ORD-DUMMY-50047,3pl_client,SKU-MUG-11:1,SKU-MUG-11:1,seal,fixtures/pack/UNIT-0047_open_box.jpg,op_ben,2026-06-06T17:25:00Z
PCK-0054,UNIT-0054,org_demo_bravo,ORD-DUMMY-50054,amazon_mfn,SKU-MUG-11:2,SKU-MUG-11:2,seal,fixtures/pack/UNIT-0054_open_box.jpg,op_chen,2026-06-28T21:45:00Z
PCK-0056,UNIT-0056,org_demo_alpha,ORD-DUMMY-50056,amazon_mfn,SKU-SERUM-30:1;SKU-PROT-1KG:1,SKU-SERUM-30:1;SKU-PROT-1KG:1,seal,fixtures/pack/UNIT-0056_open_box.jpg,op_fatima,2026-06-21T12:07:00Z
PCK-0057,UNIT-0057,org_demo_bravo,ORD-DUMMY-50057,3pl_client,SKU-PROT-1KG:2;SKU-LEASH-6FT:1,SKU-PROT-1KG:2;SKU-LEASH-6FT:1,seal,fixtures/pack/UNIT-0057_open_box.jpg,op_fatima,2026-06-16T20:16:00Z
PCK-0059,UNIT-0059,org_demo_alpha,ORD-DUMMY-50059,3pl_client,SKU-CANDLE-3:1;SKU-LAMP-LED:1,SKU-CANDLE-3:1;SKU-LAMP-LED:1,seal,fixtures/pack/UNIT-0059_open_box.jpg,op_dana,2026-06-07T18:26:00Z
PCK-0062,UNIT-0062,org_demo_alpha,ORD-DUMMY-50062,3pl_client,SKU-SERUM-30:1,SKU-SERUM-30:1,seal,fixtures/pack/UNIT-0062_open_box.jpg,op_chen,2026-06-16T23:27:00Z
PCK-0067,UNIT-0067,org_demo_alpha,ORD-DUMMY-50067,amazon_mfn,SKU-CABLE-USBC:1,SKU-CABLE-USBC:1,seal,fixtures/pack/UNIT-0067_open_box.jpg,op_dana,2026-06-20T00:33:00Z
PCK-0070,UNIT-0070,org_demo_alpha,ORD-DUMMY-50070,shopify,SKU-SERUM-30:1,SKU-SERUM-30:1,seal,fixtures/pack/UNIT-0070_open_box.jpg,op_fatima,2026-06-23T10:23:00Z
PCK-0072,UNIT-0072,org_demo_bravo,ORD-DUMMY-50072,shopify,SKU-PROT-1KG:1;SKU-TOWEL-BLU:1,SKU-PROT-1KG:1;SKU-TOWEL-BLU:1,seal,fixtures/pack/UNIT-0072_open_box.jpg,op_dana,2026-06-12T20:32:00Z
PCK-0078,UNIT-0078,org_demo_bravo,ORD-DUMMY-50078,3pl_client,SKU-CANDLE-3:2,SKU-CANDLE-3:2;SKU-CABLE-USBC:1,stop_and_fix,fixtures/pack/UNIT-0078_open_box.jpg,op_chen,2026-06-11T20:38:00Z
PCK-0079,UNIT-0079,org_demo_alpha,ORD-DUMMY-50079,shopify,SKU-CABLE-USBC:1,SKU-CABLE-USBC:1,seal,fixtures/pack/UNIT-0079_open_box.jpg,op_dana,2026-06-20T12:20:00Z
PCK-0083,UNIT-0083,org_demo_alpha,ORD-DUMMY-50083,amazon_mfn,SKU-BOTTLE-750:1,SKU-BOTTLE-750:1,seal,fixtures/pack/UNIT-0083_open_box.jpg,op_fatima,2026-06-25T05:30:00Z
PCK-0097,UNIT-0097,org_demo_alpha,ORD-DUMMY-50097,walmart,SKU-PROT-1KG:1,SKU-PROT-1KG:1,seal,fixtures/pack/UNIT-0097_open_box.jpg,op_ben,2026-06-21T22:04:00Z
PCK-0100,UNIT-0100,org_demo_alpha,ORD-DUMMY-50100,3pl_client,SKU-TOWEL-BLU:1,SKU-TOWEL-BLU:1,seal,fixtures/pack/UNIT-0100_open_box.jpg,op_chen,2026-06-20T23:11:00Z
