line_id,report_type,unit_id,org_id,sku,fnsku,fba_shipment_id,order_id,charge_type,quantity,amount_usd,posted_date
FEE-0042-1,fee_report,UNIT-0042,org_demo_bravo,SKU-CABLE-USBC,X00DUMMY042,FBA-DUMMY-104,ORD-DUMMY-50042,fulfilment_fee_weight_tier,1,4.25,2026-06-20
FEE-0048-1,fee_report,UNIT-0048,org_demo_bravo,SKU-CANDLE-3,X00DUMMY048,FBA-DUMMY-104,ORD-DUMMY-50048,fulfilment_fee_weight_tier,1,5.10,2026-06-10
FEE-0048-2,fee_report,UNIT-0048,org_demo_bravo,SKU-CANDLE-3,X00DUMMY048,FBA-DUMMY-104,ORD-DUMMY-50048,refund_issued_item_not_returned,1,0.00,2026-06-24
FEE-0050-1,fee_report,UNIT-0050,org_demo_alpha,SKU-PUZZLE-500,X00DUMMY050,FBA-DUMMY-105,ORD-DUMMY-50050,fulfilment_fee_weight_tier,1,3.50,2026-06-28
FEE-0051-1,fee_report,UNIT-0051,org_demo_bravo,SKU-CABLE-USBC,X00DUMMY051,FBA-DUMMY-105,ORD-DUMMY-50051,fulfilment_fee_weight_tier,1,5.50,2026-06-08
FEE-0052-1,fee_report,UNIT-0052,org_demo_alpha,SKU-TOWEL-BLU,X00DUMMY052,FBA-DUMMY-105,ORD-DUMMY-50052,fulfilment_fee_weight_tier,1,5.10,2026-06-14
FEE-0061-1,fee_report,UNIT-0061,org_demo_alpha,SKU-PROT-1KG,X00DUMMY061,FBA-DUMMY-106,,inbound_defect_fee,1,2.00,2026-07-22
FEE-0061-2,fee_report,UNIT-0061,org_demo_alpha,SKU-PROT-1KG,X00DUMMY061,FBA-DUMMY-106,ORD-DUMMY-50061,fulfilment_fee_weight_tier,1,3.50,2026-06-16
FEE-0063-1,fee_report,UNIT-0063,org_demo_bravo,SKU-LEASH-6FT,X00DUMMY063,FBA-DUMMY-106,ORD-DUMMY-50063,fulfilment_fee_weight_tier,1,3.50,2026-06-19
FEE-0064-1,inventory_adjustment,UNIT-0064,org_demo_alpha,SKU-BOTTLE-750,X00DUMMY064,FBA-DUMMY-106,,lost_inbound,1,0.00,2026-06-19
FEE-0064-2,fee_report,UNIT-0064,org_demo_alpha,SKU-BOTTLE-750,X00DUMMY064,FBA-DUMMY-106,ORD-DUMMY-50064,fulfilment_fee_weight_tier,1,4.25,2026-06-24
FEE-0065-1,fee_report,UNIT-0065,org_demo_alpha,SKU-LAMP-LED,X00DUMMY065,FBA-DUMMY-106,ORD-DUMMY-50065,fulfilment_fee_weight_tier,1,3.50,2026-06-18
FEE-0071-1,fee_report,UNIT-0071,org_demo_alpha,SKU-CABLE-USBC,X00DUMMY071,FBA-DUMMY-107,,inbound_defect_fee,1,1.00,2026-07-19
FEE-0071-2,reimbursement_report,UNIT-0071,org_demo_alpha,SKU-CABLE-USBC,X00DUMMY071,FBA-DUMMY-107,,damaged_in_warehouse,1,14.00,2026-06-27
FEE-0071-3,fee_report,UNIT-0071,org_demo_alpha,SKU-CABLE-USBC,X00DUMMY071,FBA-DUMMY-107,ORD-DUMMY-50071,fulfilment_fee_weight_tier,1,3.50,2026-06-14
FEE-0073-1,fee_report,UNIT-0073,org_demo_alpha,SKU-LEASH-6FT,X00DUMMY073,FBA-DUMMY-107,ORD-DUMMY-50073,fulfilment_fee_weight_tier,1,3.50,2026-06-10
FEE-0074-1,fee_report,UNIT-0074,org_demo_alpha,SKU-BOTTLE-750,X00DUMMY074,FBA-DUMMY-107,,inbound_defect_fee,1,0.50,2026-07-23
FEE-0074-2,fee_report,UNIT-0074,org_demo_alpha,SKU-BOTTLE-750,X00DUMMY074,FBA-DUMMY-107,ORD-DUMMY-50074,fulfilment_fee_weight_tier,1,3.50,2026-06-18
FEE-0076-1,inventory_adjustment,UNIT-0076,org_demo_alpha,SKU-LAMP-LED,X00DUMMY076,FBA-DUMMY-107,,lost_inbound,1,0.00,2026-06-15
FEE-0076-2,fee_report,UNIT-0076,org_demo_alpha,SKU-LAMP-LED,X00DUMMY076,FBA-DUMMY-107,ORD-DUMMY-50076,fulfilment_fee_weight_tier,1,5.10,2026-06-15
FEE-0077-1,fee_report,UNIT-0077,org_demo_alpha,SKU-LAMP-LED,X00DUMMY077,FBA-DUMMY-107,ORD-DUMMY-50077,fulfilment_fee_weight_tier,1,4.25,2026-06-20
FEE-0081-1,fee_report,UNIT-0081,org_demo_bravo,SKU-PROT-1KG,X00DUMMY081,FBA-DUMMY-108,ORD-DUMMY-50081,fulfilment_fee_weight_tier,1,4.25,2026-06-14
FEE-0084-1,fee_report,UNIT-0084,org_demo_bravo,SKU-BOTTLE-750,X00DUMMY084,FBA-DUMMY-108,ORD-DUMMY-50084,fulfilment_fee_weight_tier,1,5.10,2026-06-14
FEE-0085-1,fee_report,UNIT-0085,org_demo_alpha,SKU-CABLE-USBC,X00DUMMY085,FBA-DUMMY-108,ORD-DUMMY-50085,fulfilment_fee_weight_tier,1,4.25,2026-06-10
FEE-0090-1,fee_report,UNIT-0090,org_demo_bravo,SKU-MUG-11,X00DUMMY090,FBA-DUMMY-109,ORD-DUMMY-50090,fulfilment_fee_weight_tier,1,3.50,2026-06-17
FEE-0092-1,fee_report,UNIT-0092,org_demo_alpha,SKU-SERUM-30,X00DUMMY092,FBA-DUMMY-109,ORD-DUMMY-50092,fulfilment_fee_weight_tier,1,3.50,2026-06-13
FEE-0093-1,fee_report,UNIT-0093,org_demo_bravo,SKU-CANDLE-3,X00DUMMY093,FBA-DUMMY-109,ORD-DUMMY-50093,fulfilment_fee_weight_tier,1,5.10,2026-06-17
FEE-0094-1,fee_report,UNIT-0094,org_demo_alpha,SKU-MUG-11,X00DUMMY094,FBA-DUMMY-109,ORD-DUMMY-50094,fulfilment_fee_weight_tier,1,3.50,2026-06-18
FEE-0095-1,fee_report,UNIT-0095,org_demo_alpha,SKU-CANDLE-3,X00DUMMY095,FBA-DUMMY-109,,inbound_defect_fee,1,0.50,2026-07-16
FEE-0095-2,fee_report,UNIT-0095,org_demo_alpha,SKU-CANDLE-3,X00DUMMY095,FBA-DUMMY-109,ORD-DUMMY-50095,fulfilment_fee_weight_tier,1,6.35,2026-06-19
FEE-0096-1,fee_report,UNIT-0096,org_demo_bravo,SKU-CABLE-USBC,X00DUMMY096,FBA-DUMMY-109,,inbound_defect_fee,1,2.00,2026-07-20
FEE-0099-1,fee_report,UNIT-0099,org_demo_bravo,SKU-TOWEL-BLU,X00DUMMY099,FBA-DUMMY-109,ORD-DUMMY-50099,fulfilment_fee_weight_tier,1,3.50,2026-06-04
